,RandomForest,CatBoost,XGBoost,LGBM
total_0_5,0.9697,0.9784,0.9931,0.4609
total_5_10,0.9814,0.9997,0.9997,0.9868
total_10_15,0.8535,0.9993,0.9977,0.9925
total_15_20,0.8129,0.9989,0.995,0.9856
total_20_25,0.8162,0.999,0.9943,0.9818
total_25_30,0.8418,0.9991,0.9951,0.987
total_30_35,0.8694,0.9991,0.9966,0.9902
total_35_40,0.8864,0.9995,0.9978,0.9931
total_40_45,0.9108,0.9995,0.9984,0.9944
total_45_50,0.935,0.9997,0.9989,0.9958
total_50_55,0.9521,0.9999,0.9995,0.9988
total_55_60,0.9915,0.9999,0.9998,0.9988
total_60_65,0.9796,1.0,0.9999,0.9987
total_65_70,0.9939,0.9994,0.9993,0.9986
total_70_75,0.9925,1.0,1.0,0.9931
total_75_80,0.9989,1.0,1.0,0.821
total_80_plus,0.9965,1.0,1.0,1.0
rent_0_5,0.971,0.9997,0.9975,0.9928
rent_5_10,0.8315,0.9865,0.9495,0.9196
rent_10_15,0.7922,0.9802,0.9417,0.9108
rent_15_20,0.8237,0.9852,0.9547,0.9325
rent_20_25,0.8583,0.9908,0.9703,0.9527
rent_25_30,0.8787,0.9945,0.9815,0.9726
rent_30_35,0.9102,0.9967,0.9923,0.9876
rent_35_40,0.9345,0.9982,0.9941,0.9908
rent_40_45,0.9569,0.9987,0.9969,0.9933
rent_45_50,0.9659,0.9993,0.9985,0.9934
rent_50_55,0.9817,0.9987,0.9985,0.9431
rent_55_60,0.9898,0.9994,0.9991,0.9046
rent_60_65,0.9874,0.9991,0.9995,0.8423
rent_65_70,0.997,0.9999,0.9999,0.586
rent_70_75,0.9982,0.9989,0.9998,0.4995
rent_75_80,0.9997,1.0,0.9999,0.6151
rent_80_plus,0.9999,1.0,1.0,0.4529
return_0_5,0.9852,0.9996,0.9989,0.996
return_5_10,0.8753,0.9929,0.973,0.9537
return_10_15,0.7623,0.9866,0.951,0.9187
return_15_20,0.7777,0.9884,0.9566,0.9254
return_20_25,0.8144,0.992,0.9686,0.927
return_25_30,0.835,0.9961,0.9809,0.9564
return_30_35,0.8443,0.998,0.9887,0.9687
return_35_40,0.8779,0.9992,0.9951,0.9855
return_40_45,0.9043,0.9995,0.9978,0.9945
return_45_50,0.9245,0.9998,0.999,0.9929
return_50_55,0.9544,0.9998,0.9996,0.9924
return_55_60,0.9616,0.9999,0.9998,0.9901
return_60_65,0.9691,0.9999,0.9998,0.9751
return_65_70,0.9874,0.9999,0.9998,0.9529
return_70_75,0.9827,0.9999,0.9999,0.7944
return_75_80,0.9946,1.0,1.0,0.6182
return_80_plus,0.9996,1.0,1.0,0.9729
